Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lebanon,General government net debt,Percent of GDP, ,,180.199,165.183,151.166,132.121,129.024,128.276,123.485,124.189,125.205,131.200,134.941,140.163,143.860,147.574,151.534
Lesotho,General government net debt,National currency,Billions,,0.663,-0.374,-1.552,-2.575,-0.719,0.419,-1.030,-0.796,-0.612,1.065,4.180,6.588,8.588,11.070,12.877
Lesotho,General government net debt,Percent of GDP, ,,6.584,-3.169,-11.308,-17.520,-4.365,2.273,-5.208,-3.623,-2.541,4.110,14.791,21.140,24.798,29.263,31.167
Liberia,General government net debt,National currency,Billions,,4.879,4.495,3.319,1.937,0.332,0.400,0.407,0.477,0.559,0.631,0.786,0.915,1.022,1.128,1.214
Liberia,General government net debt,Percent of GDP, ,,644.531,477.342,306.278,169.680,25.665,25.951,23.308,24.296,27.787,31.009,37.311,40.481,41.309,41.413,40.337
Libya,General government net debt,National currency,Billions,,-56.183,-66.137,-74.867,-73.946,-82.269,-72.408,-86.439,-77.363,-56.435,-32.833,-0.981,29.676,58.351,82.851,101.648
Libya,General government net debt,Percent of GDP, ,,-77.818,-77.585,-70.215,-93.595,-86.853,-170.453,-83.646,-92.118,-99.857,-62.068,-1.784,44.578,78.730,99.787,104.690
Lithuania,General government net debt,National currency,Billions,,3.165,3.777,4.415,6.612,8.922,10.478,11.365,12.495,14.416,14.739,15.267,15.747,16.163,16.532,16.853
Lithuania,General government net debt,Percent of GDP, ,,13.144,13.008,13.504,24.549,31.832,33.515,34.094,35.739,39.556,39.631,39.413,38.816,37.687,36.348,34.947
Luxembourg,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Luxembourg,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Macao SAR,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Macao SAR,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
FYR Macedonia,General government net debt,National currency,Billions,,74.705,73.882,76.937,87.286,93.788,121.079,137.724,151.919,178.295,200.384,221.012,240.769,258.501,280.692,304.221
FYR Macedonia,General government net debt,Percent of GDP, ,,22.311,19.814,18.544,21.052,21.447,26.084,29.510,30.269,33.921,36.375,38.225,39.593,40.295,41.390,42.308
Madagascar,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Madagascar,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Malawi,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Malawi,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
