Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,General government net debt,National currency,Billions,,532.661,567.556,694.153,872.279,"1,076.859","1,187.588","1,276.057","1,349.210","1,449.191","1,503.532","1,551.158","1,589.222","1,625.259","1,620.717","1,606.335"
United States,General government net debt,National currency,Billions,,"6,198.962","6,436.625","7,427.508","8,942.116","10,399.558","11,782.441","12,824.564","13,488.237","13,986.901","14,473.742","15,253.387","15,846.234","16,429.886","17,103.195","17,803.238"
Uruguay,General government net debt,National currency,Billions,,223.621,207.743,201.103,219.553,247.229,262.074,263.979,284.899,305.498,344.044,425.857,509.529,589.968,671.229,760.880
Uzbekistan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Vanuatu,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Venezuela,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Vietnam,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Yemen,General government net debt,National currency,Billions,,"1,240.785","1,518.206","1,689.208","2,224.244","2,597.670","2,962.459","3,434.850","4,056.893","4,439.248","5,342.622","6,663.516","8,023.940","9,349.800","10,704.111","12,216.079"
Zambia,General government net debt,National currency,Billions,,9.930,9.903,10.925,12.736,15.500,18.721,25.659,36.345,48.361,92.186,132.436,156.787,179.757,198.107,214.807
Zimbabwe,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
